"character","term","freq","adjLL","rank","negrank","revrank"
"CHERYL","earballs",5,30.7605786009337,13,-13,8
"KRIEGER","danny",6,30.440742184438,14,-14,7
"PAM","bawk bawk",5,29.4367857742325,12,-12,9
"PAM","edie",8,29.1847849399218,13,-13,8
"PAM","lickbag",6,28.8182556127956,14,-14,7
"PAM","sharknoid",5,28.7006440737892,15,-15,6
"CHERYL","totally",25,28.1244747260805,14,-14,7
"CHERYL","ooo",6,28.1067647246371,15,-15,6
"CHERYL","supervisor",6,28.1067647246371,16,-16,5
"CYRIL","heck",8,27.9889798782498,15,-15,6
"CYRIL","wuh",6,27.8946041375989,16,-16,5
"RAY","blue",9,27.6992108386418,7,-7,14
"LANA","archer shut",4,27.2677205597957,9,-9,12
"LANA","dammit archer",4,27.2677205597957,10,-10,11
"LANA","gun gun",4,27.2677205597957,11,-11,10
"LANA","kgb agents",4,27.2677205597957,12,-12,9
"KRIEGER","cpu",5,26.5077642515214,15,-15,6
"PAM","frickin",19,26.4457728042435,16,-16,5
"KRIEGER","bathroom",10,26.41466087335,16,-16,5
"ARCHER","relax",25,26.3780797014208,17,-17,4
"ARCHER","gonna",266,26.2029779698086,18,-18,3
"ARCHER","danger zone",11,26.1057935565406,19,-19,2
"ARCHER","kenny loggins",11,26.1057935565406,20,-20,1
"PAM","neck",8,26.0137757162901,17,-17,4
"RAY","herd",5,25.9807963127849,8,-8,13
"LANA","honey",16,25.517073343586,13,-13,8
"PAM","tits",9,25.4233383376104,18,-18,3
"CYRIL","darn",7,25.1801654187404,17,-17,4
"CYRIL","geez",7,25.1801654187404,18,-18,3
"CYRIL","ms",17,24.9164403826595,19,-19,2
"PAM","jeez",10,24.6265233161493,19,-19,2
"KRIEGER","clone",6,24.2046745015889,17,-17,4
"PAM","hey yeah",4,23.549458214026,20,-20,1
"CHERYL","woooooo",8,23.4335042603464,17,-17,4
"KRIEGER","van",8,23.3666920338498,18,-18,3
"KRIEGER","film",6,23.0909392688756,19,-19,2
"KRIEGER","clones",5,22.6440229528246,20,-20,1
"LANA","hell happened",4,22.4206993525899,14,-14,7
"LANA","mi5",8,22.4061768194454,15,-15,6
"LANA","daddy",11,22.2026739890718,16,-16,5
"RAY","ol",6,21.4756509713417,9,-9,12
"CHERYL","burn",11,20.836310757725,18,-18,3
"RAY","god damn",7,19.7446295127028,10,-10,11
"CHERYL","gasps",18,19.6357262280932,19,-19,2
"CHERYL","boring",6,19.6317406936402,20,-20,1
"LANA","yup",10,19.1210423336667,17,-17,4
"LANA","kazak",8,18.4640368203197,18,-18,3
"LANA","sigh",13,18.408981594138,19,-19,2
"CYRIL","ha",30,18.2448824720787,20,-20,1
"LANA","lana kane",8,18.1812740566269,20,-20,1
"RAY","hair",6,17.5632469655985,11,-11,10
"RAY","sploosh",5,14.4232109342799,12,-12,9
"RAY","morning",7,14.3705254182997,13,-13,8
"RAY","asshole",9,11.9383225568906,14,-14,7
"RAY","broken",5,10.9213274579742,15,-15,6
"RAY","double",7,10.0385795214614,16,-16,5
"RAY","damn",22,9.4414721827349,17,-17,4
"RAY","legs",5,9.15445193473316,18,-18,3
"RAY","ooh",10,8.57576756768818,19,-19,2
"RAY","ass",14,8.54758107225573,20,-20,1
